Time,verticalROI1,verticalROI2,verticalROI3,verticalROI4,verticalROI5,verticalROI6,verticalROI7,verticalROI8,verticalROI9,verticalROI10,horizontalROI1,horizontalROI2,horizontalROI3,horizontalROI4,horizontalROI5,horizontalROI6,horizontalROI7,horizontalROI8,horizontalROI9,horizontalROI10
10-30-54,475,92,0,0,72,0,0,0,7,123,85,40,13,42,10,13,10,639,349,595
10-30-54,98,107,109,113,109,0,0,0,157,125,0,0,0,0,0,0,2,607,639,617
10-30-54,0,0,0,0,18,0,0,0,24,124,0,0,0,0,0,0,0,25,63,357
10-30-54,95,108,114,115,115,0,0,0,156,125,0,0,0,0,0,0,2,572,639,619
10-30-54,97,107,111,113,111,0,0,0,156,124,0,0,0,0,0,0,2,607,636,616
10-30-54,98,104,108,114,116,0,0,0,156,124,0,0,0,0,0,0,2,613,637,619
10-30-54,96,104,111,115,109,0,0,0,157,125,0,0,0,0,0,0,2,605,636,616
10-30-54,0,0,0,0,24,0,0,0,17,123,0,0,0,0,0,0,0,24,63,366
10-30-54,96,109,112,115,110,0,0,0,157,125,0,0,0,0,0,0,2,606,636,618
10-30-54,96,110,111,117,108,0,0,0,157,125,0,0,0,0,0,0,2,606,635,618
10-30-54,96,102,112,116,111,0,0,0,157,124,0,0,0,0,0,0,2,601,639,617
10-30-54,16,0,0,0,28,0,0,0,24,123,0,0,0,0,0,0,0,26,62,606
10-30-54,96,102,114,114,110,0,0,0,157,124,0,0,0,0,0,0,2,596,634,618
10-30-54,99,107,110,112,103,0,0,0,155,125,0,0,0,0,0,0,2,604,638,618
10-30-54,100,107,111,115,113,0,0,0,157,125,0,0,0,0,0,0,2,606,635,617
10-30-54,96,104,111,116,113,0,0,0,151,125,0,0,0,0,0,0,2,579,633,621
10-30-54,98,108,109,113,110,0,0,0,156,125,0,0,0,0,0,0,2,613,635,616
10-30-54,98,102,111,114,112,0,0,0,157,125,0,0,0,0,0,0,2,605,634,617
10-30-54,98,107,111,114,112,0,0,0,156,125,0,0,0,0,0,0,2,611,635,615
10-30-54,98,105,113,116,116,0,0,0,154,125,0,0,0,0,0,0,2,610,638,620
10-30-54,4,0,0,7,31,0,0,0,29,123,0,0,0,0,0,0,0,25,64,591
10-30-54,99,106,108,114,110,0,0,0,50,130,0,0,0,0,0,0,0,613,639,620
10-30-54,95,106,113,114,114,0,0,0,157,125,0,0,0,0,0,0,2,562,639,617
10-30-54,100,111,116,114,110,0,0,0,157,124,0,0,0,0,0,0,2,604,635,617
10-30-54,2,0,0,0,38,0,0,0,26,123,0,0,0,0,0,0,0,27,63,591
10-30-55,100,109,113,114,113,0,0,0,156,125,0,0,0,0,0,0,2,609,637,617
10-30-55,99,106,479,115,112,0,0,0,157,125,2,0,0,0,0,0,2,606,639,621
10-30-55,94,106,109,115,114,0,0,0,156,125,0,0,0,0,0,0,2,566,639,623
10-30-55,98,107,111,117,108,0,0,0,49,125,0,0,0,0,0,0,0,606,638,617
10-30-55,100,106,109,113,112,0,0,0,157,124,0,0,0,0,0,0,2,588,637,616
10-30-55,26,0,0,0,23,0,0,0,25,123,0,0,0,0,0,0,0,26,63,610
10-30-55,97,103,111,115,111,0,0,0,48,124,0,0,0,0,0,0,0,578,637,616
10-30-55,99,110,110,115,114,0,0,0,157,125,0,0,0,0,0,0,2,606,638,617
10-30-55,98,104,114,114,110,0,0,0,156,124,0,0,0,0,0,0,2,602,635,617
10-30-55,2,0,0,0,25,0,0,0,28,123,0,0,0,0,0,0,0,24,63,595
10-30-55,98,109,111,115,110,0,0,0,49,125,0,0,0,0,0,0,0,610,635,618
10-30-55,98,105,113,115,110,0,0,0,157,124,0,0,0,0,0,0,2,606,637,618
10-30-55,94,102,110,114,104,0,0,0,156,124,0,0,0,0,0,0,2,562,639,618
10-30-55,97,110,108,116,114,0,0,0,50,124,0,0,0,0,0,0,0,610,637,617
10-30-55,97,105,108,115,111,0,0,0,157,124,0,0,0,0,0,0,2,604,639,617
10-30-55,99,97,113,114,110,0,0,0,157,124,0,0,0,0,0,0,2,584,636,617
10-30-55,95,104,112,114,108,0,0,0,148,124,0,0,0,0,0,0,2,565,639,616
10-30-55,95,109,112,114,113,0,0,0,157,124,0,0,0,0,0,0,2,560,634,616
10-30-55,96,106,108,115,110,0,0,0,157,124,0,0,0,0,0,0,2,603,639,617
10-30-55,99,108,110,114,111,0,0,0,157,124,0,0,0,0,0,0,2,605,635,618
10-30-55,96,103,111,115,109,0,0,0,157,124,0,0,0,0,0,0,2,601,639,618
10-30-55,100,107,110,114,114,0,0,0,157,124,0,0,0,0,0,0,2,610,639,617
10-30-55,96,104,111,116,114,0,0,0,157,124,0,0,0,0,0,0,2,603,639,616
10-30-55,100,108,111,117,114,0,0,0,157,124,0,0,0,0,0,0,2,598,639,619
10-30-55,93,111,109,150,112,0,0,0,157,124,0,0,0,0,0,0,305,569,635,616
10-30-55,103,106,110,114,106,0,0,0,157,124,0,0,0,0,0,0,2,612,639,619
10-30-55,2,0,0,0,41,0,0,0,30,123,0,0,0,0,0,0,0,25,63,593
10-30-55,93,106,111,115,114,0,0,0,157,124,0,0,0,0,0,0,2,565,633,619
10-30-55,98,101,113,114,115,0,0,0,157,124,0,0,0,0,0,0,2,606,635,616
10-30-55,97,106,110,114,110,0,0,0,157,124,0,0,0,0,0,0,2,609,638,617
10-30-55,102,106,108,117,110,0,0,0,157,124,0,0,0,0,0,0,2,606,638,617
10-30-55,102,103,114,115,104,0,0,0,156,124,0,0,0,0,0,0,2,605,634,616
10-30-55,96,103,112,117,112,0,0,0,157,124,0,0,0,0,0,0,2,610,639,618
10-30-55,97,106,110,114,109,0,0,0,157,124,0,0,0,0,0,0,2,609,636,617
10-30-55,100,103,112,115,110,0,0,0,157,124,0,0,0,0,0,0,2,606,635,617
10-30-55,99,108,111,115,111,0,0,0,156,124,0,0,0,0,0,0,2,577,639,617
10-30-55,96,104,110,114,108,0,0,0,157,124,0,0,0,0,0,0,2,603,636,620
10-30-55,98,105,111,117,111,0,0,0,157,124,0,0,0,0,0,0,2,609,636,617
10-30-55,95,105,113,116,112,0,0,0,157,124,0,0,0,0,0,0,2,562,636,618
10-30-55,98,109,112,115,114,0,0,0,156,125,0,0,0,0,0,0,2,613,636,619
10-30-55,14,0,0,0,34,0,0,0,26,124,0,0,0,0,0,0,0,27,64,596
10-30-55,94,105,111,114,113,0,0,0,157,125,0,0,0,0,0,0,2,566,639,619
10-30-55,103,105,110,115,113,0,0,0,51,125,0,0,0,0,0,0,0,610,639,617
10-30-55,97,105,111,115,109,0,0,0,157,126,0,0,0,0,0,0,2,609,638,617
10-30-55,99,104,111,114,110,0,0,0,157,126,0,0,0,0,0,0,2,607,635,616
10-30-55,100,106,112,117,115,0,0,0,157,126,0,0,0,0,0,0,2,614,638,617
10-30-55,100,104,113,117,110,0,0,0,157,126,0,0,0,0,0,0,2,611,636,617
10-30-55,98,105,112,118,112,0,0,0,157,127,0,0,0,0,0,0,2,607,637,617
10-30-55,101,108,110,117,113,0,0,0,157,127,0,0,0,0,0,0,2,612,635,622
10-30-55,103,107,112,114,111,0,0,0,157,126,0,0,0,0,0,0,2,607,637,619
10-30-55,100,106,111,115,112,0,0,0,157,148,0,0,0,0,0,0,87,610,638,619
10-30-55,97,105,114,116,112,0,0,0,157,148,0,0,0,0,0,0,87,610,638,617
10-30-55,98,104,479,114,113,0,0,0,157,154,2,0,0,0,0,0,87,611,637,616
10-30-55,99,106,112,113,111,0,0,0,157,374,0,0,4,0,0,0,87,611,639,617
10-30-55,99,108,113,118,118,0,0,0,157,379,0,0,8,1,0,0,87,610,635,615
10-30-55,102,107,111,115,113,0,0,0,157,412,0,3,12,10,3,6,87,591,639,616
10-30-55,101,103,112,115,111,0,0,0,54,424,0,8,13,12,11,18,36,578,628,616
10-30-55,99,101,111,116,112,0,0,0,120,435,1,13,15,14,18,33,34,558,637,612
10-30-56,101,105,479,114,115,0,0,0,157,439,506,13,16,14,26,37,59,549,621,614
10-30-56,100,100,112,114,110,0,0,0,169,444,5,15,17,14,32,47,52,540,614,615
10-30-56,9,0,0,0,14,0,0,0,165,446,7,16,14,15,35,41,46,21,91,589
10-30-56,102,107,111,114,110,0,0,0,193,454,11,19,15,14,44,54,51,520,615,610
10-30-56,103,105,111,115,110,0,0,2,207,460,14,22,15,15,30,55,46,512,617,616
10-30-56,23,0,0,0,32,0,0,0,190,461,16,24,14,14,51,47,40,24,117,593
10-30-56,102,102,112,115,111,0,0,43,219,468,20,26,15,14,41,59,46,504,621,612
10-30-56,100,106,112,114,111,0,0,138,338,467,23,25,15,14,9,53,42,504,620,613
10-30-56,100,103,114,116,114,0,0,141,348,474,26,24,15,14,9,53,48,495,625,610
10-30-56,48,0,0,0,33,0,0,114,358,475,28,24,16,12,46,50,38,24,623,604
10-30-56,0,0,0,0,43,0,0,105,362,476,30,23,17,12,43,52,36,20,138,350
10-30-56,18,0,0,0,64,0,0,120,366,479,31,23,17,12,8,47,75,23,349,597
10-30-56,5,0,0,0,89,0,0,139,368,479,32,22,18,10,9,41,37,21,353,600
10-30-56,0,0,0,0,78,0,0,131,370,479,31,23,18,10,9,40,39,19,359,356
10-30-56,2,0,0,2,72,0,0,132,372,479,31,23,18,11,8,37,39,21,350,594
10-30-56,26,0,24,2,69,0,0,131,372,479,31,23,18,10,8,40,73,26,368,591
10-30-56,2,0,0,2,62,0,0,130,373,479,32,23,18,10,9,40,43,25,350,594
10-30-56,25,0,0,2,58,0,0,127,374,479,31,23,20,11,11,39,43,121,349,599
10-30-56,2,0,0,0,74,0,0,127,374,479,31,23,20,11,10,43,42,124,350,588
10-30-56,25,0,0,2,63,0,0,125,373,479,31,23,20,9,8,49,42,28,357,599
10-30-56,100,108,111,115,113,0,0,139,374,479,31,24,20,10,9,33,45,469,639,612
10-30-56,47,0,0,2,58,0,0,120,373,479,31,23,21,7,8,41,42,30,623,603
10-30-56,24,0,0,0,53,0,0,115,372,479,32,23,21,7,6,43,43,31,342,608
10-30-56,10,0,2,0,72,0,0,113,371,479,31,23,21,5,7,44,43,126,350,589
10-30-56,103,109,111,115,109,0,0,127,372,479,31,23,20,6,8,33,51,470,639,610
10-30-56,18,0,0,0,65,0,0,99,370,479,30,23,20,5,9,45,41,30,353,590
10-30-56,21,0,0,0,56,0,0,102,368,479,31,23,20,7,9,51,42,102,355,603
10-30-56,0,0,0,0,63,0,0,101,367,479,31,23,20,6,11,54,40,125,348,356
10-30-56,3,0,2,0,67,0,0,87,366,479,29,23,19,6,11,67,51,123,353,579
10-30-56,8,0,0,0,64,0,0,106,366,479,29,23,19,6,11,51,41,129,352,601
10-30-56,96,106,112,115,115,0,0,111,369,479,29,23,19,8,13,6,48,482,635,610
10-30-56,0,0,0,0,67,0,0,8,364,479,28,23,19,8,11,63,41,120,364,344
10-30-56,2,0,0,2,72,0,0,72,364,479,28,22,19,8,11,62,52,82,352,585
10-30-56,0,0,0,2,85,0,0,0,361,479,28,22,19,9,12,66,40,116,354,364
10-30-56,6,0,0,0,55,0,0,0,359,479,27,21,18,9,13,53,42,117,356,591
10-30-56,28,0,0,0,54,0,0,0,359,479,28,22,19,9,13,62,43,116,352,601
10-30-56,7,0,0,0,72,0,0,0,358,479,27,22,18,9,13,66,44,38,362,593
10-30-56,7,0,0,0,62,0,0,0,356,479,28,21,18,9,13,52,46,31,352,582
10-30-56,2,0,0,2,63,0,0,0,355,479,28,21,19,10,13,75,46,32,356,584
10-30-56,29,0,2,0,60,0,0,0,354,479,27,22,19,9,13,62,47,31,347,607
10-30-56,4,0,0,0,63,0,0,0,353,479,27,21,18,10,13,55,47,35,356,589
10-30-56,7,0,0,0,58,0,0,0,352,479,27,21,18,10,14,55,49,68,349,594
10-30-56,12,0,0,2,59,0,0,0,351,479,27,21,18,10,13,53,51,32,346,595
10-30-56,20,0,2,0,56,0,0,0,349,479,26,21,19,10,14,50,53,31,345,596
10-30-56,99,108,111,113,113,0,0,42,351,479,27,21,18,11,14,35,54,497,639,615
10-30-56,0,0,0,2,62,0,0,0,348,479,27,21,19,10,14,64,54,107,346,363
