Time,verticalROI1,verticalROI2,verticalROI3,verticalROI4,verticalROI5,verticalROI6,verticalROI7,verticalROI8,verticalROI9,verticalROI10,horizontalROI1,horizontalROI2,horizontalROI3,horizontalROI4,horizontalROI5,horizontalROI6,horizontalROI7,horizontalROI8,horizontalROI9,horizontalROI10
10-32-27,0,0,0,0,10,149,236,388,479,191,33,70,117,86,139,153,229,232,306,314
10-32-27,0,0,0,0,9,149,208,393,479,195,33,77,124,87,150,178,228,233,305,313
10-32-27,0,0,0,0,10,148,230,390,479,195,33,75,116,86,137,177,227,235,305,315
10-32-27,0,0,0,0,10,149,231,389,479,194,33,70,118,86,152,178,227,235,306,313
10-32-27,0,0,0,0,11,147,210,390,479,194,33,78,111,87,142,179,227,235,306,315
10-32-27,0,0,0,0,10,149,209,401,479,194,33,78,115,87,152,180,229,236,305,315
10-32-27,0,0,0,0,9,149,207,400,479,201,34,76,117,86,140,176,229,231,306,315
10-32-27,0,0,0,0,10,150,210,387,479,195,33,78,113,89,148,178,229,233,306,313
10-32-27,0,0,0,0,10,149,207,391,479,195,33,72,119,89,144,178,228,235,306,314
10-32-27,0,0,0,0,10,149,206,387,479,201,33,67,116,89,154,174,228,235,306,314
10-32-27,2,0,0,0,62,148,187,366,479,81,33,30,26,31,23,86,103,222,345,594
10-32-27,0,0,0,0,10,148,233,389,479,200,34,76,123,88,147,178,227,234,305,313
10-32-27,0,0,0,0,9,149,209,391,479,201,33,74,117,87,151,175,229,233,306,313
10-32-27,0,0,0,0,9,149,234,393,479,348,34,77,125,85,152,175,228,236,306,315
10-32-27,0,0,0,0,10,148,210,388,479,195,33,75,121,86,143,178,228,233,306,313
10-32-27,0,0,0,0,11,149,235,392,479,201,33,78,119,88,138,178,227,235,306,313
10-32-27,0,0,0,0,9,150,200,387,479,194,34,69,109,90,135,177,229,236,306,314
10-32-27,0,0,0,0,10,149,209,389,479,200,33,75,119,87,135,176,229,235,305,314
10-32-27,0,0,0,0,9,149,206,388,479,195,33,77,109,86,156,179,228,236,305,314
10-32-27,0,0,0,0,10,150,173,387,479,191,33,84,115,86,152,150,230,238,306,314
10-32-27,0,0,0,0,9,149,236,390,479,194,34,72,123,86,154,177,229,231,306,312
10-32-27,0,0,0,0,9,149,236,391,479,193,33,73,109,88,153,178,227,233,306,320
10-32-27,0,0,0,0,10,149,198,392,479,196,34,74,119,83,144,178,228,231,305,314
10-32-27,0,0,0,0,11,148,206,390,479,353,34,73,125,88,152,178,227,231,305,313
10-32-27,0,0,0,0,11,148,233,392,479,206,33,79,115,88,144,179,228,234,305,314
10-32-27,0,0,0,0,10,149,234,390,479,201,33,73,116,84,153,180,227,237,306,312
10-32-27,0,0,0,0,10,149,208,392,479,195,34,81,121,88,151,174,229,235,305,314
10-32-27,0,0,0,0,10,149,234,389,479,204,33,82,116,89,152,177,229,231,306,313
10-32-27,0,0,0,0,10,149,209,388,479,194,33,78,119,87,151,179,227,237,306,314
10-32-27,0,0,0,0,10,149,206,393,479,201,33,70,118,89,147,174,228,236,306,314
10-32-27,0,0,0,0,9,149,232,393,479,198,33,78,114,87,141,178,227,237,306,313
10-32-27,0,0,0,0,11,148,233,389,479,350,33,71,125,87,159,177,227,232,306,313
10-32-27,0,0,0,0,9,150,233,401,479,196,35,72,114,82,135,181,230,232,305,315
10-32-27,0,0,0,0,10,148,233,388,479,194,33,82,122,88,147,178,229,238,306,313
10-32-27,0,0,0,0,10,148,185,393,479,198,34,70,118,83,144,174,227,233,306,313
10-32-27,0,0,0,0,10,150,228,390,479,353,34,71,124,86,147,176,230,231,306,319
10-32-27,0,0,0,0,11,147,232,393,479,195,35,77,115,83,139,181,228,237,306,316
10-32-27,0,0,0,0,10,148,233,388,479,203,34,71,117,87,132,177,228,238,306,313
10-32-27,0,0,0,0,10,149,234,391,479,253,34,83,122,83,158,176,228,231,306,315
10-32-27,0,0,0,0,10,150,236,393,479,195,34,77,120,88,153,178,227,231,306,311
10-32-27,0,0,0,0,11,148,233,390,479,196,34,70,118,87,153,178,228,233,306,313
10-32-27,0,0,0,0,10,149,234,389,479,193,34,76,109,88,145,180,226,232,306,315
10-32-27,0,0,0,0,10,149,233,391,479,199,34,75,118,84,144,179,227,235,305,314
10-32-27,0,0,0,0,11,149,200,391,479,195,34,75,117,88,152,176,227,233,306,315
10-32-27,0,0,0,0,10,150,233,393,479,195,34,71,124,87,140,178,227,237,306,316
10-32-27,0,0,0,0,11,148,199,393,479,195,34,26,113,88,142,176,229,234,306,313
10-32-27,0,0,0,0,11,147,234,392,479,196,33,78,118,88,140,177,227,235,306,314
10-32-27,0,0,0,0,10,150,232,392,479,195,33,71,119,86,142,178,227,236,306,314
10-32-27,0,0,0,0,10,150,236,391,479,195,34,73,115,88,147,178,228,233,306,315
10-32-27,0,0,0,0,10,149,235,393,479,196,34,68,117,90,137,177,228,232,306,314
10-32-27,0,0,0,0,10,149,233,393,479,197,33,63,120,82,141,179,229,236,306,314
10-32-27,0,0,0,0,10,149,201,391,479,195,33,70,119,87,140,179,228,229,306,315
10-32-27,0,0,0,0,10,150,233,391,479,353,34,71,126,87,143,177,228,236,306,313
10-32-27,0,0,0,0,10,149,233,390,479,196,34,76,117,89,140,179,228,235,306,314
10-32-27,0,0,0,0,10,149,233,390,479,196,34,82,118,87,145,178,227,234,306,314
10-32-27,0,0,0,0,10,149,231,388,479,201,34,72,117,87,152,179,227,235,306,315
10-32-28,0,0,0,0,10,149,232,395,479,194,34,79,119,87,145,176,228,236,305,313
10-32-28,0,0,0,0,10,149,236,389,479,197,33,60,123,79,154,178,228,237,306,314
10-32-28,0,0,0,0,11,149,236,398,479,200,33,77,123,88,156,180,228,237,305,313
10-32-28,0,0,0,0,10,149,231,390,479,196,32,73,120,85,140,177,226,237,306,314
10-32-28,0,0,0,0,9,152,246,391,479,198,33,76,126,88,154,178,227,233,306,314
10-32-28,0,0,0,0,11,148,233,392,479,194,34,79,124,87,141,177,228,232,306,315
10-32-28,0,0,0,0,10,150,235,391,479,197,33,75,113,86,140,181,229,235,306,315
10-32-28,1,0,0,0,0,75,203,443,479,479,628,146,178,181,160,178,243,248,286,318
10-32-28,0,0,0,0,10,150,235,391,479,195,34,78,122,90,153,180,228,236,306,314
10-32-28,0,0,0,0,11,149,233,405,479,194,33,79,117,90,137,181,228,235,306,313
10-32-28,0,0,0,0,9,151,231,388,479,198,33,75,117,86,152,178,228,233,306,313
10-32-28,0,0,0,0,10,149,236,392,479,201,34,79,117,88,144,176,228,236,306,315
10-32-28,0,0,0,0,9,151,224,391,479,340,34,72,134,90,142,177,226,236,305,314
10-32-28,0,0,0,0,10,149,232,399,479,197,34,72,119,88,135,179,228,236,306,316
10-32-28,0,0,0,0,11,147,235,394,479,196,33,74,118,88,137,175,228,236,305,314
10-32-28,0,0,0,0,10,150,233,392,479,253,34,70,121,88,162,176,227,237,306,314
